op. 0, machine 0, p between 19.0 and 26.0
op. 1, machine 1, p between 14.0 and 24.0
op. 2, machine 1, p between 7.0 and 13.0
op. 2, machine 2, p between 6.0 and 11.0
op. 3, machine 1, p between 3.0 and 7.0
op. 3, machine 2, p between 11.0 and 14.0
op. 4, machine 1, p between 7.0 and 10.0
op. 4, machine 2, p between 10.0 and 11.0
op. 5, machine 1, p between 4.0 and 9.0
op. 5, machine 2, p between 7.0 and 14.0
op. 6, machine 1, p between 6.0 and 9.0
op. 6, machine 2, p between 11.0 and 13.0
op. 7, machine 1, p between 2.0 and 10.0
op. 7, machine 2, p between 5.0 and 7.0
op. 8, machine 1, p between 2.0 and 6.0
op. 8, machine 2, p between 2.0 and 8.0
op. 9, machine 2, p between 22.0 and 27.0
op. 10, machine 2, p between 11.0 and 11.0
op. 10, machine 3, p between 4.0 and 10.0
op. 11, machine 2, p between 2.0 and 2.0
op. 11, machine 3, p between 6.0 and 13.0
op. 12, machine 2, p between 5.0 and 5.0
op. 12, machine 3, p between 6.0 and 6.0
op. 13, machine 2, p between 9.0 and 13.0
op. 13, machine 3, p between 12.0 and 12.0
op. 14, machine 3, p between 20.0 and 23.0
op. 15, machine 4, p between 14.0 and 15.0
